event_id,session_id,timestamp,event_type,honeypot_id,src_ip,src_port,dst_ip,dst_port,protocol,username,password,login_success,command,command_index,country,asn,isp,attack_type,mitre_technique_id,mitre_technique_name,severity,file_downloaded,c2_ip,sha256_payload,session_duration_sec,bytes_sent,bytes_received,alert_tag,false_positive,thehive_case_id,misp_event_uuid,analyst_note
EVT-0000011,8e1e0df2d668,2026-04-23T04:30:35.871Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,cat /dev/null > ~/.bash_history,6,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000012,8e1e0df2d668,2026-04-23T04:30:53.339Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,truncate -s 0 /var/log/auth.log,7,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000013,8e1e0df2d668,2026-04-23T04:31:01.903Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,echo '' > ~/.bash_history,8,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000014,8e1e0df2d668,2026-04-23T04:31:18.948Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,echo 'backdoor ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,9,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000015,8e1e0df2d668,2026-04-23T04:31:38.611Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,(crontab -l; echo '@reboot /tmp/.sshd &') | crontab -,10,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000016,8e1e0df2d668,2026-04-23T04:31:54.909Z,cowrie.command.input,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,quit,11,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,,,,honeypot_hit,false,,,
EVT-0000017,8e1e0df2d668,2026-04-23T04:31:56.104Z,cowrie.session.closed,cowrie-ec2-prod-01,227.57.229.154,60364,172.18.0.3,2222,ssh,ec2-user,raspberry,true,,,MA,AS36903,Maroc Telecom,log_tampering,T1078,Valid Accounts,high,,,,794,17408,53917,honeypot_hit,false,,,
EVT-0000018,5f6ca7491197,2026-04-16T19:24:17.000Z,cowrie.session.connect,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,,,,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000019,5f6ca7491197,2026-04-16T19:24:17.483Z,cowrie.client.version,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,,,,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000020,5f6ca7491197,2026-04-16T19:24:18.463Z,cowrie.client.kex,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,,,,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000021,5f6ca7491197,2026-04-16T19:24:20.333Z,cowrie.login.failed,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,administrator,abc123,false,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000022,5f6ca7491197,2026-04-16T19:24:21.915Z,cowrie.login.failed,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,node,123456789,false,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000023,5f6ca7491197,2026-04-16T19:24:22.438Z,cowrie.login.failed,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,www,default,false,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000024,5f6ca7491197,2026-04-16T19:24:25.143Z,cowrie.login.failed,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,mysql,openwrt,false,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000025,5f6ca7491197,2026-04-16T19:24:28.044Z,cowrie.login.failed,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,node,test,false,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,
EVT-0000026,5f6ca7491197,2026-04-16T19:24:30.483Z,cowrie.session.closed,cowrie-ec2-prod-01,228.171.26.184,60391,172.18.0.3,2222,ssh,node,test,false,,,ID,AS17974,Telekomunikasi Indonesia,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,27,2341,1102,bruteforce,false,,,
EVT-0000027,2474fab18a08,2026-03-04T06:20:24.000Z,cowrie.session.connect,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,,,,,,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000028,2474fab18a08,2026-03-04T06:20:24.436Z,cowrie.client.version,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,,,,,,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000029,2474fab18a08,2026-03-04T06:20:24.967Z,cowrie.client.kex,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,,,,,,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000030,2474fab18a08,2026-03-04T06:20:27.088Z,cowrie.login.success,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,,,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000031,2474fab18a08,2026-03-04T06:20:40.789Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,hostname,0,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000032,2474fab18a08,2026-03-04T06:20:44.729Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,whoami,1,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000033,2474fab18a08,2026-03-04T06:20:56.807Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,uname -s -r,2,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000034,2474fab18a08,2026-03-04T06:21:15.855Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,hostname -f,3,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000035,2474fab18a08,2026-03-04T06:21:30.543Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,uname -a,4,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000036,2474fab18a08,2026-03-04T06:21:35.778Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,pkill -f 'sshd: root',5,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000037,2474fab18a08,2026-03-04T06:21:54.985Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,history -c,6,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000038,2474fab18a08,2026-03-04T06:22:05.574Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,history -w,7,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000039,2474fab18a08,2026-03-04T06:22:19.276Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,shred -u /var/log/auth.log,8,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000040,2474fab18a08,2026-03-04T06:22:35.161Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,rm -f ~/.bash_history,9,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000041,2474fab18a08,2026-03-04T06:22:41.975Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,chmod 600 ~/.ssh/authorized_keys,10,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000042,2474fab18a08,2026-03-04T06:22:58.326Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,echo 'root:H4ck3d!' | chpasswd,11,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000043,2474fab18a08,2026-03-04T06:23:03.063Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,truncate -s 0 /var/log/auth.log,12,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000044,2474fab18a08,2026-03-04T06:23:05.620Z,cowrie.session.file_upload,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,,,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,sshd,45.142.212.100,var/lib/cowrie/downloads/e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000045,2474fab18a08,2026-03-04T06:23:07.596Z,cowrie.command.input,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,quit,13,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,,,,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000046,2474fab18a08,2026-03-04T06:23:08.698Z,cowrie.session.closed,cowrie-ec2-prod-01,120.130.196.212,56290,172.18.0.3,2222,ssh,centos,linux,true,,,EG,AS8452,TE Data,log_tampering,T1033,System Owner/User Discovery,high,,,,371,101364,1990,privilege_escalation,true,,,XMRig miner deployment attempt
EVT-0000047,881c32909cdd,2026-04-30T01:27:23.000Z,cowrie.session.connect,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,,,,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000048,881c32909cdd,2026-04-30T01:27:23.193Z,cowrie.client.version,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,,,,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000049,881c32909cdd,2026-04-30T01:27:23.932Z,cowrie.client.kex,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,,,,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000050,881c32909cdd,2026-04-30T01:27:26.050Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,ubuntu,12345678,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000051,881c32909cdd,2026-04-30T01:27:28.170Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,deploy,admin,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000052,881c32909cdd,2026-04-30T01:27:30.840Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,pi,666666,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000053,881c32909cdd,2026-04-30T01:27:33.117Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,nagios,Admin@123,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000054,881c32909cdd,2026-04-30T01:27:35.231Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,admin,admin123,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000055,881c32909cdd,2026-04-30T01:27:37.967Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,ansible,postgres,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000056,881c32909cdd,2026-04-30T01:27:38.811Z,cowrie.login.failed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,vagrant,raspberry,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,,,,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000057,881c32909cdd,2026-04-30T01:27:40.902Z,cowrie.session.closed,cowrie-ec2-prod-01,175.77.115.84,43977,172.18.0.3,2222,ssh,vagrant,raspberry,false,,,IR,AS44244,Afranet,ssh_bruteforce,T1110.001,Brute Force: Password Guessing,medium,,,,23,961,898,bruteforce,false,,,Low-and-slow credential stuffing
EVT-0000058,40c6b71423ae,2026-04-15T01:00:03.000Z,cowrie.session.connect,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,,,,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000059,40c6b71423ae,2026-04-15T01:00:03.307Z,cowrie.client.version,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,,,,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000060,40c6b71423ae,2026-04-15T01:00:03.807Z,cowrie.client.kex,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,,,,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000061,40c6b71423ae,2026-04-15T01:00:04.885Z,cowrie.login.failed,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,guest,1q2w3e4r,false,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000062,40c6b71423ae,2026-04-15T01:00:06.999Z,cowrie.login.failed,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,test,888888,false,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000063,40c6b71423ae,2026-04-15T01:00:09.457Z,cowrie.login.failed,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,ec2-user,mysql,false,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000064,40c6b71423ae,2026-04-15T01:00:10.836Z,cowrie.login.failed,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,deploy,password,false,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000065,40c6b71423ae,2026-04-15T01:00:11.727Z,cowrie.login.failed,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,deploy,changeme,false,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,,
EVT-0000066,40c6b71423ae,2026-04-15T01:00:13.593Z,cowrie.session.closed,cowrie-ec2-prod-01,223.20.98.79,46134,172.18.0.3,2222,ssh,deploy,changeme,false,,,TR,AS9121,Turk Telekomunikasyon AS,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,19,2544,1202,bruteforce,false,,,
EVT-0000067,15c7a80b9bd4,2026-03-27T00:43:11.000Z,cowrie.session.connect,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,,,,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,,,,bruteforce,false,,,
EVT-0000068,15c7a80b9bd4,2026-03-27T00:43:11.373Z,cowrie.client.version,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,,,,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,,,,bruteforce,false,,,
EVT-0000069,15c7a80b9bd4,2026-03-27T00:43:12.156Z,cowrie.client.kex,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,,,,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,,,,bruteforce,false,,,
EVT-0000070,15c7a80b9bd4,2026-03-27T00:43:13.439Z,cowrie.login.failed,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,guest,oracle,false,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,,,,bruteforce,false,,,
EVT-0000071,15c7a80b9bd4,2026-03-27T00:43:16.268Z,cowrie.login.failed,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,user,111111,false,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,,,,bruteforce,false,,,
EVT-0000072,15c7a80b9bd4,2026-03-27T00:43:17.171Z,cowrie.login.failed,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,www,raspberry,false,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,,,,bruteforce,false,,,
EVT-0000073,15c7a80b9bd4,2026-03-27T00:43:19.817Z,cowrie.session.closed,cowrie-ec2-prod-01,72.142.192.146,63952,172.18.0.3,2222,ssh,www,raspberry,false,,,BR,AS28573,Claro NXT Telecomunicacoes,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,low,,,,10,457,128,bruteforce,false,,,
EVT-0000074,a08d08e468fa,2026-03-03T05:32:30.000Z,cowrie.session.connect,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,,,,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000075,a08d08e468fa,2026-03-03T05:32:30.361Z,cowrie.client.version,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,,,,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000076,a08d08e468fa,2026-03-03T05:32:31.014Z,cowrie.client.kex,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,,,,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000077,a08d08e468fa,2026-03-03T05:32:32.053Z,cowrie.login.failed,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,operator,openelec,false,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000078,a08d08e468fa,2026-03-03T05:32:35.000Z,cowrie.login.failed,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,vagrant,654321,false,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000079,a08d08e468fa,2026-03-03T05:32:37.653Z,cowrie.login.failed,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,oracle,admin@123,false,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000080,a08d08e468fa,2026-03-03T05:32:38.882Z,cowrie.login.failed,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,support,root123,false,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
EVT-0000081,a08d08e468fa,2026-03-03T05:32:41.220Z,cowrie.login.failed,cowrie-ec2-prod-01,199.65.106.248,40505,172.18.0.3,2222,ssh,webmaster,root,false,,,CN,AS9808,China Mobile,ssh_bruteforce,T1110.003,Brute Force: Password Spraying,medium,,,,,,,bruteforce,false,,43a0dfdc-2059-4b9e-bd23-c8559d3f475f,
